lat	lon	name
-11.7573	-77.3498	6040029280
-11.7573	-77.3498	6040029280
-11.7573	-77.3498	6040029280
-11.7573	-77.3498	6040029280
-11.7573	-77.3498	6040029280
-11.7573	-77.3498	6040029280
-12.1292	-77.2339	6040029280
-12.1292	-77.2339	6040029280
-12.1292	-77.2339	6040029280
-12.1292	-77.2339	6040029280
-12.0765	-77.208	undefined
-12.0765	-77.208	undefined
-12.0765	-77.208	undefined
-12.0765	-77.208	undefined
-12.1144	-77.213	undefined
-5.63333	-81.0	undefined
-5.63333	-81.0	undefined
-5.63333	-81.0	undefined
-5.63333	-81.0	undefined
-5.63333	-81.0	undefined
-5.63333	-81.0	undefined
-12.0765	-77.208	undefined
-12.0765	-77.208	undefined
-12.0765	-77.208	undefined
-12.7526	-77.7928	undefined
-12.7526	-77.7928	undefined
-8.46585	-83.0182	undefined
0.251	-66.968	6040280400
-8.057	-63.22	6040285990
-15.672	-44.637	6040595200
-19.878	-45.435	6040639920
-18.228	-45.248	6040639920
-20.097	-44.042	6040639920
-15.323	-43.665	6040595210
-18.725	-44.352	6040639920
-18.721	-44.347	6040639920
-20.312	-43.567	6040639920
-17.984	-44.169	6040639920
-15.672	-44.637	6040595200
-16.152	-45.694	6040595200
-15.672	-44.637	6040595200
-15.672	-44.637	6040595200
-19.774	-45.463	6040639920
4.506	-67.896	6040102330
-4.55	-34.52	6040009770
-4.55	-34.52	6040009770
-24.2122	-47.4838	6040014330
-24.2122	-47.4838	6040014330
-24.5947	-48.2148	6040014330
-24.7161	-47.6912	6040014330
-24.5705	-48.6713	6040014330
-24.2688	-47.4126	6040014330
-24.7161	-47.6912	6040014330
-24.2122	-47.4838	6040014330
-24.4997	-47.739	6040014330
-24.7569	-48.0687	6040014330
-24.1008	-46.7309	6040014330
-23.3454	-44.8482	undefined
-24.0886	-46.7319	6040014330
-24.182	-46.843	6040014330
-23.556	-45.148	undefined
-24.136	-46.869	6040014330
-23.547	-45.087	6040013760
-24.108	-46.859	6040014330
-24.369	-46.958	6040014330
-23.374	-46.053	6040013750
-23.596	-45.569	6040013750
-23.369	-46.024	6040013750
-22.637	-44.616	6040013750
-22.786	-45.456	6040013750
-23.374	-46.053	6040013750
-22.584	-45.169	6040013750
-21.24	-43.51	6040013750
-23.728	-46.814	6040752460
-22.6734	-53.0858	6040752470
-22.8691	-48.3676	6040752460
-17.8459	-57.4033	6040814820
-19.683	-48.669	6040709820
-23.524	-45.89	6040752460
-23.0243	-48.8281	6040752470
-21.1931	-49.1228	6040752460
-23.15	-48.2667	6040752460
-22.6471	-53.0769	6040752470
-21.9271	-47.3679	6040709820
-21.5748	-46.3236	6040709820
-17.256	-48.5056	6040709810
-20.2362	-48.6783	6040709820
-22.6503	-53.0916	6040752470
-21.327	-47.2388	6040709820
-23.9247	-50.6243	6040752470
-23.9383	-50.729	6040752470
-22.8994	-48.3867	6040752460
-22.4489	-45.3464	6040709820
-22.9392	-50.2523	6040752470
-23.2418	-51.2183	6040752470
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-21.891	-40.709	undefined
-22.374	-41.721	undefined
-22.374	-41.721	undefined
-22.374	-41.721	undefined
-22.374	-41.721	undefined
-22.374	-41.721	undefined
-16.773	-64.795	6040285990
-20.941	-64.259	6040814820
-17.611	-65.603	6040285990
-11.414	-66.396	6040285990
-10.756	-65.907	6040285990
-10.756	-65.907	6040285990
-10.837	-65.859	6040285990
-11.267	-66.297	6040285990
-10.756	-65.907	6040285990
-10.756	-65.907	6040285990
-19.431	-66.776	6040040470
-18.012	-67.867	6040040470
-19.183	-64.459	6040285990
-17.928	-65.304	6040285990
-17.928	-65.304	6040285990
-11.108	-66.598	6040285990
-11.108	-66.598	6040285990
-11.393	-66.408	6040285990
-19.165	-67.022	6040040470
-22.9414	-48.5842	6040752470
-22.9414	-48.5842	6040752470
-4.143	-81.134	undefined
-14.248	-39.358	6040012580
-9.0	-34.59	undefined
-9.0	-34.59	undefined
-9.0	-34.59	undefined
-15.5815	-47.3425	6040639910
-6.397	-81.075	undefined
-12.3	-77.9	undefined
-3.85	-32.45	undefined
-3.85	-32.45	undefined
-3.85	-32.45	undefined
-3.85	-32.45	undefined
-21.0	-40.0	undefined
-15.8499	-47.387	6040639910
7.65	-58.9333	6040004480
7.48333	-59.5667	6040004480
7.66667	-59.2333	undefined
7.46667	-59.5833	6040004480
7.66667	-59.2333	undefined
0.96902	-61.9006	6040280400
1.52194	-59.8214	6040280400
1.06075	-61.85	6040280400
-3.1	-60.0167	6040280400
-23.369	-46.024	6040013750
-18.136	-45.245	6040639920
-25.0921	-52.4946	6040814830
-25.0921	-52.4946	6040814830
-20.3427	-55.7262	6040814820
-20.3427	-55.7262	6040814820
-22.8204	-48.1041	6040752460
-22.6692	-53.0847	6040752470
-22.9414	-48.5842	6040752470
-23.0963	-48.2514	6040752460
-23.7703	-46.311	6040752460
-21.107	-50.265	6040752460
-22.6347	-52.8221	6040752470
-23.667	-46.183	6040752460
-23.667	-46.183	6040752460
-23.9545	-51.1141	6040752470
-23.9545	-51.1141	6040752470
-25.319	-52.489	6040814830
-22.7914	-53.3494	6040814830
-22.7221	-53.2865	6040814830
-21.6241	-47.8063	6040709820
-22.65	-53.092	6040752470
-22.6734	-53.0858	6040752470
-15.5817	-47.5064	6040709810
-21.0129	-49.6903	6040752460
-21.327	-47.239	6040709820
-23.527	-45.762	6040752460
-23.1004	-48.2401	6040752460
-21.975	-47.418	6040709820
-22.7914	-53.3494	6040814830
-22.6503	-53.0916	6040752470
-24.055	-46.341	6040014330
-25.105	-47.781	undefined
-25.105	-47.781	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.506	-45.034	undefined
-23.863	-46.152	6040014330
-37.383	-48.4	undefined
-23.863	-46.152	6040014330
-23.863	-46.152	6040014330
-23.863	-46.152	6040014330
-23.863	-46.152	6040014330
-25.058	-47.887	undefined
-25.058	-47.887	undefined
-25.105	-47.781	undefined
-25.105	-47.781	undefined
-25.105	-47.781	undefined
-4.552	-56.289	6040262220
-10.8031	-40.3801	6040011790
-4.552	-56.289	6040262220
-5.208	-56.931	6040262220
-14.76	-40.0844	6040012580
-19.0026	-42.1278	6040013420
-20.7297	-42.8488	6040013420
0.88777	-59.5744	6040280400
-22.639	-52.16	6040752470
-22.639	-52.16	6040752470
-22.639	-52.16	6040752470
-27.265	-54.0526	6040016760
-25.38	-50.38	6040752470
-13.3988	-44.3337	6040562010
-14.6516	-44.0919	6040595200
-13.7023	-39.5722	6040011790
-9.3697	-38.2171	6040011780
6.497	-74.398	6040000740
-22.1672	-44.13	6040013750
31.0433	-86.1014	undefined
-1.61306	-79.3106	6040032290
-0.36	-62.82	6040280400
-23.484	-45.173	6040013760
7.162	-73.551	6040000740
6.577	-74.397	6040000740
6.577	-74.397	6040000740
-31.7133	-52.3008	6040015940
1.91	-63.94	6040280400
-13.8894	-38.9429	undefined
-22.0275	-41.5261	6040013760
-16.1516	-45.6963	6040595200
-2.18333	-79.3508	6040032290
-19.934	-40.13	6040013430
-4.88	-73.65	6040280410
-3.71	-73.31	6040280410
-9.0	-34.59	undefined
6.508	-74.398	6040000740
-26.1453	-48.9072	6040014330
-14.832	-40.103	6040012580
-23.189	-50.966	6040752470
6.867	-75.838	6040000740
-31.9461	-52.76	6040015940
-14.4657	-39.9644	6040012580
-25.4481	-50.2986	6040752470
-22.075	-48.48	6040752460
-10.169	-59.466	6040285990
-22.639	-52.16	6040752470
-26.16	-51.2	6040814830
-23.513	-50.953	6040752470
-22.936	-50.262	6040752470
-25.3367	-49.8531	6040752470
-23.189	-50.966	6040752470
-0.41667	-64.7831	6040280400
-23.124	-52.451	6040814830
-13.8894	-38.9429	undefined
6.785	-75.146	6040000740
-13.4098	-41.6332	6040012580
-53.595	-37.097	undefined
-22.944	-50.527	6040752470
-22.944	-50.527	6040752470
-19.7892	-40.6108	6040013420
-19.022	-42.122	6040013420
-13.8894	-38.9429	undefined
-22.639	-52.16	6040752470
-31.2917	-51.0815	6040014330
-20.9246	-40.7521	undefined
-20.9246	-40.7521	undefined
-2.005	-58.325	6040262110
-29.6686	-51.4299	6040014330
-2.89497	-41.6714	6040009760
-20.9253	-40.7536	undefined
-16.3929	-39.286	6040012800
-22.9868	-41.9934	6040013760
-24.7858	-51.8886	6040814830
-22.916	-49.992	6040752470
-9.0	-34.59	undefined
5.575	-74.937	6040000740
-31.7624	-52.3144	6040015940
-4.81964	-66.8468	6040280410
-3.69	-73.27	6040280410
-18.52	-44.47	6040639920
-30.0031	-51.2677	6040015560
-21.1917	-41.5558	6040013430
-32.748	-52.495	6040015950
-15.5058	-47.9784	6040345000
-25.4678	-51.2433	6040814830
-15.3392	-40.6515	6040012590
-16.729	-42.68	6040012790
-14.6589	-39.2231	6040012590
-14.9117	-39.1433	6040012590
-15.5781	-56.1664	6040814820
-14.4573	-57.5761	6040814820
-31.9172	-51.9431	6040014330
-14.5677	-40.072	6040012580
10.16	67.26	undefined
-22.944	-50.527	6040752470
6.577	-74.397	6040000740
-8.75453	-35.0873	undefined
-7.289	-60.636	6040285990
-22.6636	-43.0867	6040013760
-22.944	-50.527	6040752470
16.21	114.58	undefined
-26.15	-51.06	6040814830
-9.0	-34.59	undefined
-25.26	-50.17	6040752470
15.91	114.88	undefined
-19.985	-41.722	6040013420
-9.0	-34.59	undefined
-22.639	-52.16	6040752470
-31.7624	-52.3144	6040015940
-12.8478	-38.632	6040011790
6.14894	-48.3607	undefined
1.67511	-57.4768	6040262110
6.832	-76.809	6040000010
-31.8802	-51.862	6040014330
-9.0	-34.59	undefined
-13.8894	-38.9429	undefined
-27.265	-54.054	6040016760
0.88777	-59.5744	6040280400
-22.648	-53.079	6040752470
-23.0005	-43.581	undefined
-30.0031	-51.2677	6040015560
-22.639	-52.16	6040752470
-14.351	-43.788	6040562020
6.491	-74.405	6040000740
-0.574	-79.362	undefined
-15.5278	-48.0659	6040345000
-31.8925	-52.6568	6040015940
-23.513	-50.953	6040752470
3.467	-60.297	6040280400
-13.8894	-38.9429	undefined
7.751	-75.263	6040000740
6.797	-75.139	6040000740
-23.56	-52.45	6040814830
-14.6511	-39.5739	6040012590
-16.277	-55.988	6040814820
-25.57	-54.1	6040814830
5.36263	-48.7734	undefined
-27.118	-48.537	undefined
-25.38	-50.38	6040752470
-25.5328	-49.545	6040814830
-53.773	-37.97	undefined
-13.8894	-38.9429	undefined
-53.841	-39.258	undefined
-16.466	-58.153	6040814820
-27.961	-48.683	6040014330
-0.574	-79.362	undefined
-30.4511	-50.4317	6040014330
-3.19328	-39.5323	undefined
7.163	-73.551	6040000740
-21.037	-52.12	6040752460
-21.037	-52.12	6040752460
-9.0	-34.59	undefined
-22.7514	-53.2981	6040814830
6.838	-75.176	6040000740
-26.3667	-48.6662	undefined
-12.125	-77.8718	undefined
-4.217	-55.891	6040262220
-3.16	-72.25	6040280410
16.19	114.89	undefined
-9.0	-34.59	undefined
-2.85215	-66.9406	6040280410
6.805	-75.138	6040000740
3.059	-69.531	6040134450
-15.5464	-38.9612	6040012590
-8.75453	-35.0873	undefined
-10.079	-67.543	6040280410
-4.1508	-70.0133	6040280410
-8.332	-63.483	6040285990
-5.63	-57.253	6040262220
6.78	-75.086	6040000740
7.177	-75.611	6040000740
-20.9253	-40.7536	undefined
-22.935	-50.262	6040752470
-8.332	-63.483	6040285990
6.985	-75.09	6040000740
-16.993	-56.436	6040814820
-29.32	-54.0	6040016760
0.60525	-63.357	6040280400
-12.93	-38.51	undefined
-14.1828	-41.0153	6040012580
-13.2179	-76.3354	undefined
-15.5058	-47.9784	6040345000
3.73383	-59.8427	6040280400
1.83191	-57.0733	6040262110
-2.0175	-58.1739	6040262110
-15.5324	-47.7111	6040345000
