"lat"	"lon"
-13.7023	-39.5722
-9.3697	-38.2171
6.497	-74.398
-22.1672	-44.13
31.0433	-86.1014
-1.61306	-79.3106
-0.36	-62.82
-23.484	-45.173
7.162	-73.551
6.577	-74.397
6.577	-74.397
-31.7133	-52.3008
1.91	-63.94
-13.8894	-38.9429
-22.0275	-41.5261
-16.1516	-45.6963
-2.18333	-79.3508
-19.934	-40.13
-4.88	-73.65
-3.71	-73.31
-9	-34.59
6.508	-74.398
-26.1453	-48.9072
-14.832	-40.103
-23.189	-50.966
6.867	-75.838
-31.9461	-52.76
-14.4657	-39.9644
-25.4481	-50.2986
-22.075	-48.48
-10.169	-59.466
-22.639	-52.16
-26.16	-51.2
-23.513	-50.953
-22.936	-50.262
-25.3367	-49.8531
-23.189	-50.966
-0.41667	-64.7831
-23.124	-52.451
-13.8894	-38.9429
6.785	-75.146
-13.4098	-41.6332
-53.595	-37.097
-22.944	-50.527
-22.944	-50.527
-19.7892	-40.6108
-19.022	-42.122
-13.8894	-38.9429
-22.639	-52.16
-31.2917	-51.0815
-20.9246	-40.7521
-20.9246	-40.7521
-2.005	-58.325
-29.6686	-51.4299
-2.89497	-41.6714
-20.9253	-40.7536
-16.3929	-39.286
-22.9868	-41.9934
-24.7858	-51.8886
-22.916	-49.992
-9	-34.59
5.575	-74.937
-31.7624	-52.3144
-4.81964	-66.8468
-3.69	-73.27
-18.52	-44.47
-30.0031	-51.2677
-21.1917	-41.5558
-32.748	-52.495
-15.5058	-47.9784
-25.4678	-51.2433
-15.3392	-40.6515
-16.729	-42.68
-14.6589	-39.2231
-14.9117	-39.1433
-15.5781	-56.1664
-14.4573	-57.5761
-31.9172	-51.9431
-14.5677	-40.072
10.16	67.26
-22.944	-50.527
6.577	-74.397
-8.75453	-35.0873
-7.289	-60.636
-22.6636	-43.0867
-22.944	-50.527
16.21	114.58
-26.15	-51.06
-9	-34.59
-25.26	-50.17
15.91	114.88
-19.985	-41.722
-9	-34.59
-22.639	-52.16
-31.7624	-52.3144
-12.8478	-38.632
6.14894	-48.3607
1.67511	-57.4768
6.832	-76.809
-31.8802	-51.862
-9	-34.59
-13.8894	-38.9429
-27.265	-54.054
0.88777	-59.5744
-22.648	-53.079
-23.0005	-43.581
-30.0031	-51.2677
-22.639	-52.16
-14.351	-43.788
6.491	-74.405
-0.574	-79.362
-15.5278	-48.0659
-31.8925	-52.6568
-23.513	-50.953
3.467	-60.297
-13.8894	-38.9429
7.751	-75.263
6.797	-75.139
-23.56	-52.45
-14.6511	-39.5739
-16.277	-55.988
