species,habitat
Serrasalmus serrulatus,Freshwater
Pareiorhaphis stephanus,Freshwater
Steatogenys elegans,Freshwater
Henochilus wheatlandii,Freshwater
Potamorhina altamazonica,Freshwater
Malacoctenus delalandii,Marine
Trichomycterus albinotatus,Freshwater
Peckoltia sabaji,Freshwater
Myloplus rhomboidalis,Freshwater
Schizodon vittatus,Freshwater
Moenkhausia agnesae,Freshwater
Sphoeroides dorsalis,Marine
Cynoscion analis,Marine
Anostomoides laticeps,Freshwater
Astyanax cremnobates,Freshwater
Epinephelus quinquefasciatus,Marine
Metynnis guaporensis,Freshwater
Cetopsorhamdia nasus,Freshwater
Hypostomus formosae,Unknown
Halichoeres poeyi,Marine
Seriolella violacea,Marine
Ancistrus hoplogenys,Freshwater
Auchenipterus osteomystax,Freshwater
Metynnis fasciatus,Freshwater
Eucinostomus melanopterus,Marine and freshwater
Oxydoras niger,Freshwater
Wertheimeria maculata,Freshwater
Simpsonichthys constanciae,Freshwater
Ageneiosus vittatus,Freshwater
Ageneiosus polystictus,Freshwater
Lasiancistrus schomburgkii,Freshwater
Hypostomus boulengeri,Freshwater
Apistogramma atahualpa,Freshwater
Gymnotus obscurus,Freshwater
Rhamdia laukidi,Freshwater
Brachyplatystoma capapretum,Freshwater
Brachyhypopomus batesi,Freshwater
Porotergus gimbeli,Freshwater
Phenacorhamdia boliviana,Freshwater
Hyphessobrycon socolofi,Freshwater
Caquetaia kraussii,Freshwater
Xyrichtys novacula,Marine
Gilbertolus alatus,Freshwater
Megalonema platanum,Freshwater
Apistogramma rositae,Freshwater
Oligosarcus solitarius,Freshwater
Paracheirodon simulans,Freshwater
Brycon amazonicus,Freshwater
Diplectrum pacificum,Marine
Hyporthodus niveatus,Marine
Megaleporinus piavussu,Freshwater
Trichomycterus caliensis,Freshwater
Chloroscombrus chrysurus,Marine
Plagioscion squamosissimus,Freshwater
Syacium papillosum,Marine
Megalodoras uranoscopus,Freshwater
Dermatolepis dermatolepis,Marine
Hassar orestis,Freshwater
Hypostomus margaritifer,Freshwater
Laemolyta garmani,Freshwater
Cantherhines pullus,Marine
Anisotremus surinamensis,Marine
Anchoviella brevirostris,Marine
Laimosemion rectocaudatus,Freshwater
Psalidodon xavante,Freshwater
Lasiancistrus caucanus,Freshwater
Prochilodus costatus,Freshwater
Geophagus proximus,Freshwater
Eugerres brasilianus,Marine
Hyphessobrycon micropterus,Freshwater
Astyanax goyacensis,Freshwater
Tympanopleura brevis,Freshwater
Lophiosilurus alexandri,Freshwater
Planaltina myersi,Freshwater
Phalloceros uai,Freshwater
Crenicichla britskii,Freshwater
Trichomycterus iheringi,Freshwater
Coryphopterus urospilus,Marine
Synodus sechurae,Marine
Crenicichla acutirostris,Freshwater
Thalassoma purpureum,Marine
Apogon americanus,Marine
Labrisomus nuchipinnis,Marine
Charax gibbosus,Freshwater
Fonchiiloricaria nanodon,Freshwater
Steindachneridion parahybae,Freshwater
Creagrutus paraguayensis,Freshwater
Lutjanus jocu,Marine and freshwater
Kajikia albida,Marine
Trichomycterus sp1,Unknown
Trichomycterus sp2,Unknown
Leporinus amblyrhynchus,Freshwater
Astyanax biotae,Freshwater
Cheirodon stenodon,Freshwater
Neoplecostomus langeanii,Freshwater
Microglanis garavelloi,Freshwater
Thalassoma noronhanum,Marine
Paralichthys patagonicus,Marine
Haemulon parra,Marine
Galeichthys peruvianus,Marine
Geophagus pellegrini,Freshwater
Astroblepus unifasciatus,Freshwater
Cherublemma emmelas,Marine
Oligosarcus acutirostris,Freshwater
Moenkhausia intermedia,Freshwater
Curimata inornata,Freshwater
Syacium micrurum,Marine
Callichthys callichthys,Freshwater
Hyphessobrycon copelandi,Freshwater
Steindachneridion scriptum,Freshwater
Poecilia sphenops,Freshwater
Cynodonichthys magdalenae,Freshwater
Pogonopoma wertheimeri,Freshwater
Cetopsorhamdia orinoco,Freshwater
Pimelodus punctatus,Freshwater
Chaetostoma joropo,Freshwater
Megaleporinus trifasciatus,Freshwater
Centropomus robalito,Marine
Schizodon dissimilis,Freshwater
Spatuloricaria gymnogaster,Freshwater
Hoplias misionera,Unknown
Pimelodella parnahybae,Freshwater
Nannostomus beckfordi,Freshwater
Crenicichla lacustris,Freshwater
Cyphocharax magdalenae,Freshwater
Hemibrycon metae,Freshwater
Creagrutus affinis,Freshwater
Hoplias intermedius,Freshwater
Carangoides otrynter,Marine
Serrasalmus elongatus,Freshwater
Farlowella nattereri,Freshwater
Corydoras agassizii,Freshwater
Chromis crusma,Marine
Oligosarcus jacuiensis,Freshwater
Astroblepus longifilis,Freshwater
Apareiodon ibitiensis,Freshwater
Pimelodella lateristriga,Freshwater
Hemibrycon antioquiae,Freshwater
Trichopodus microlepis,Freshwater
Rhamdia voulezi,Freshwater
Curimatella dorsalis,Freshwater
Nemichthys scolopaceus,Marine
Hypostomus luetkeni,Freshwater
Hyphessobrycon rosaceus,Freshwater
Mesonauta mirificus,Freshwater
Hyphessobrycon cantoi,Unknown
Moenkhausia hemigrammoides,Freshwater
Delturus angulicauda,Freshwater
Hypostomus affinis,Freshwater
Curimatella lepidura,Freshwater
Hollandichthys multifasciatus,Freshwater
Halichoeres notospilus,Marine
Girella freminvillii,Marine
Chromis multilineata,Marine
Myxodagnus opercularis,Marine
Pristobrycon calmoni,Freshwater
Hemigrammus boesemani,Freshwater
Roeboides descalvadensis,Freshwater
Cyphocharax vanderi,Freshwater
Hypostomus regani,Freshwater
Oreochromis niloticus,Freshwater
Apteronotus bonapartii,Freshwater
Eigenmannia humboldtii,Freshwater
Parapteronotus hasemani,Freshwater
Abudefduf taurus,Marine
Roeboides margareteae,Freshwater
Crenicichla sp,Unknown
Odontostilbe splendida,Freshwater
Auchenipterus ambyiacus,Freshwater
Metynnis polystictus,Freshwater
Sparisoma viride,Marine
Trichomycterus striatus,Freshwater
Astroblepus micrescens,Freshwater
Metynnis mola,Freshwater
Tympanopleura piperatus,Unknown
Astyanax festae,Freshwater
Parotocinclus maculicauda,Freshwater
Psenes arafurensis,Marine
Astyanax hastatus,Freshwater
Ossubtus xinguense,Freshwater
Trichomycterus pradensis,Freshwater
Cyprinus carpio,Freshwater
Bunocephalus verrucosus,Freshwater
Ctenopharyngodon idellus,Freshwater
Hisonotus depressicauda,Freshwater
Hemibrycon raqueliae,Freshwater
Salminus franciscanus,Freshwater
Steindachnerina notonota,Freshwater
Gobiomorus maculatus,Freshwater
Eigenmannia vicentespelaea,Freshwater
Hyphessobrycon bifasciatus,Freshwater
Tilapia rendalli,Freshwater
Panaqolus maccus,Freshwater
Bryconops affinis,Freshwater
Hypseleotris compressa,Freshwater
Osteoglossum ferreirai,Freshwater
Hyphessobrycon flammeus,Freshwater
Lophiobrycon weitzmani,Freshwater
Characidium oiticicai,Freshwater
Hypostomus topavae,Freshwater
Hypostomus cochliodon,Freshwater
Bodianus diplotaenia,Marine
Liopropoma longilepis,Marine
Muraena lentiginosa,Marine
Gymnothorax ocellatus,Marine
Mycteroperca acutirostris,Marine
Elacatinus phthirophagus,Marine
Oncorhynchus chrysogaster,Freshwater
Andinoacara pulcher,Freshwater
Bothus leopardinus,Marine
Malacoctenus zonogaster,Marine
Pellona flavipinnis,Freshwater
Moenkhausia oligolepis,Freshwater
Nematistius pectoralis,Marine
Psellogrammus kennedyi,Freshwater
Pyrrhulina australis,Freshwater
Crenicichla niederleinii,Freshwater
Hyphessobrycon balbus,Freshwater
Bryconamericus iheringii,Freshwater
Haemulon scudderii,Marine
Conodon serrifer,Marine
Ctenosciaena gracilicirrhus,Marine
Paralichthys isosceles,Marine
Hyphessobrycon heterorhabdus,Freshwater
Myloplus lucienae,Freshwater
Cyprinus multitaeniata,Freshwater
Psectrogaster rhomboides,Freshwater
Astyanax venezuelae,Freshwater
Pterygoplichthys joselimaianus,Freshwater
Acanthurus chirurgus,Marine
Brycon gouldingi,Freshwater
Trachelyopterus coriaceus,Freshwater
Astroblepus guentheri,Freshwater
Corumbataia britskii,Freshwater
Rineloricaria jubata,Freshwater
Epalzeorhynchos bicolor,Freshwater
Hyphessobrycon epicharis,Freshwater
Acnodon senai,Freshwater
Peprilus snyderi,Marine
Sternopygus aequilabiatus,Freshwater
Triportheus signatus,Freshwater
Hyphessobrycon luetkenii,Freshwater
Psalidodon marionae,Freshwater
Novaculichthys taeniourus,Marine
Simpsonichthys boitonei,Freshwater
Leporinus taeniatus,Freshwater
Pachypops fourcroi,Freshwater
Hypostomus meleagris,Freshwater
Parastremma sadina,Freshwater
Metynnis hypsauchen,Freshwater
Poecilia mexicana,Freshwater
Galeocharax knerii,Freshwater
Trichomycterus guacamayoensis,Unknown
Knodus borki,Freshwater
Astyanax vermilion,Freshwater
Pareques acuminatus,Marine
Larimus acclivis,Marine
Hyphessobrycon sweglesi,Freshwater
Brachyplatystoma tigrinum,Freshwater
Stellifer stellifer,Marine
Astyanax hamatilis,Freshwater
Knodus meridae,Freshwater
Genidens barbus,Marine
Hoplosternum littorale,Freshwater
Prionotus punctatus,Marine
Astyanax burgerai,Freshwater
Apistogramma bitaeniata,Freshwater
Prochilodus lineatus,Freshwater
Pseudopimelodus bufonius,Freshwater
Bryconamericus ornaticeps,Freshwater
Pimelodella meeki,Freshwater
Hyphessobrycon erythrostigma,Freshwater
Chalceus macrolepidotus,Freshwater
Deuterodon iguape,Freshwater
Trichomycterus maracaya,Freshwater
Baryancistrus niveatus,Freshwater
Hassar affinis,Freshwater
Prochilodus vimboides,Freshwater
Astyanax metae,Freshwater
Pristella maxillaris,Freshwater
Astyanax jordani,Freshwater
Hemibrycon plutarcoi,Unknown
Sciades couma,Freshwater
Gymnotus pantherinus,Freshwater
Deuterodon langei,Freshwater
Taractes rubescens,Marine
Trachurus picturatus,Marine
Chaetostoma leucomelas,Freshwater
Ancistrus dolichopterus,Freshwater
Creagrutus atrisignum,Freshwater
Equetus punctatus,Marine
Megalancistrus parananus,Freshwater
Prochilodus mariae,Freshwater
Lutjanus purpureus,Marine
Bathygobius mystacium,Marine
Diplectrum radiale,Marine
Stellifer chrysoleuca,Marine
Roeboides sazimai,Freshwater
Harengula clupeola,Marine
Salminus affinis,Freshwater
Moenkhausia sanctaefilomenae,Freshwater
Chaetostoma chimu,Unknown
Hemibrycon huambonicus,Freshwater
Diapoma alegretense,Freshwater
Thalassophryne amazonica,Freshwater
Apistogramma hippolytae,Freshwater
Triportheus albus,Freshwater
Creagrutus taphorni,Freshwater
Characidium dule,Unknown
Acanthodoras cataphractus,Freshwater
Steindachnerina elegans,Freshwater
Hypostomus hoplonites,Freshwater
Eigenmannia trilineata,Freshwater
Franciscodoras marmoratus,Freshwater
Corydoras difluviatilis,Freshwater
Pomacanthus zonipectus,Marine
Harttia loricariformis,Freshwater
Brachyplatystoma platynemum,Freshwater
Proloricaria prolixa,Freshwater
Microglanis leptostriatus,Freshwater
Psalidodon gymnogenys,Freshwater
Eucinostomus jonesii,Marine
Doratonotus megalepis,Marine
Imparfinis borodini,Freshwater
Thalassoma genivittatum,Marine
Phenacorhamdia unifasciata,Freshwater
Astroblepus chotae,Freshwater
Brycon rubricauda,Freshwater
Cynodon gibbus,Freshwater
Trachinotus paitensis,Marine
Decodon melasma,Marine
Spatuloricaria terracanticum,Marine
Lobotes pacificus,Marine
Apistogramma cacatuoides,Freshwater
Characidium schubarti,Freshwater
Hysteronotus megalostomus,Freshwater
Cichla temensis,Freshwater
Oncorhynchus mykiss,Marine and freshwater
Serrapinnus sp1,Unknown
Pontinus sierra,Marine
Equetus lanceolatus,Marine
Characidium etheostoma,Freshwater
Pristigenys serrula,Marine
Rhamphichthys lineatus,Freshwater
Acestrorhynchus pantaneiro,Freshwater
Starksia galapagensis,Marine
Makaira nigricans,Marine
Geophagus obscurus,Freshwater
Porichthys porosissimus,Marine
Diapterus auratus,Marine
Chaetobranchopsis orbicularis,Freshwater
Sphoeroides parvus,Marine
Halichoeres dimidiatus,Marine
Hemiodus vorderwinkleri,Freshwater
Cantherhines pardalis,Marine
Triportheus magdalenae,Freshwater
Leporinus copelandii,Freshwater
Thalassoma lutescens,Marine
Trachydoras paraguayensis,Freshwater
Triphoturus mexicanus,Marine
Semaprochilodus kneri,Freshwater
Adontosternarchus clarkae,Freshwater
Acarichthys heckelii,Freshwater
Leporinus affinis,Freshwater
Chilara taylori,Marine
Mycteroperca olfax,Marine
Archosargus rhomboidalis,Marine
Colomesus asellus,Freshwater
Rineloricaria pentamaculata,Freshwater
Pseudotocinclus tietensis,Freshwater
Melanocetus johnsonii,Marine
Brachyhypopomus pinnicaudatus,Freshwater
Hirundichthys speculiger,Marine
Symphurus fasciolaris,Marine
Nexilosus latifrons,Marine
Bagre marinus,Marine
Pseudostegophilus paulensis,Freshwater
Stygichthys typhlops,Freshwater
Isopisthus parvipinnis,Marine
Curculionichthys insperatus,Freshwater
Paralonchurus peruanus,Marine
Brachyhypopomus beebei,Freshwater
Halichoeres dispilus,Marine
Bodianus eclancheri,Marine
Diplodus argenteus,Marine
Cetopsorhamdia picklei,Freshwater
Brachyhypopomus walteri,Freshwater
Astyanax minor,Freshwater
Hypostomus vaillanti,Freshwater
Opisthonema libertate,Marine
Aluterus monoceros,Marine
Psalidodon pampa,Freshwater
Gobiesox barbatulus,Marine
Moenkhausia costae,Freshwater
Thunnus orientalis,Marine
Moenkhausia cosmops,Freshwater
Chaetostoma dorsale,Freshwater
Oligosarcus macrolepis,Freshwater
Tometes ancylorhynchus,Freshwater
Panaque titan,Freshwater
Anadoras weddellii,Freshwater
Serrasalmus eigenmanni,Freshwater
Gymnocorymbus ternetzi,Freshwater
Astronotus crassipinnis,Freshwater
Opisthonema medirastre,Marine
Catoprion mento,Freshwater
Psalidodon schubarti,Freshwater
Corvula macrops,Marine
Astyanax aeneus,Freshwater
Oligosarcus pintoi,Freshwater
Aphyocharax dentatus,Freshwater
Megalechis thoracata,Freshwater
Hypostomus albopunctatus,Freshwater
Anablepsoides speciosus,Freshwater
Chilomycterus spinosus,Marine
Odontostilbe pequira,Freshwater
Australoheros angiru,Freshwater
Leporinus fasciatus,Freshwater
Dajaus monticola,Marine and freshwater
Delturus carinotus,Freshwater
Hyphessobrycon santae,Freshwater
Dekeyseria scaphirhyncha,Freshwater
Melanorivulus apiamici,Freshwater
Schizodon scotorhabdotus,Freshwater
Rineloricaria eigenmanni,Freshwater
Scartichthys viridis,Marine
Albula goreensis,Marine
Anadoras grypus,Freshwater
Serrapinnus kriegi,Freshwater
Hypostomus johnii,Freshwater
Astroblepus ardiladuartei,Freshwater
Isopisthus remifer,Marine
Epinephelus labriformis,Marine
Micropogonias ectenes,Marine
Hypophthalmichthys molitrix,Freshwater
Trichogenes longipinnis,Freshwater
Megalonema platycephalum,Freshwater
Xyrichtys nov,Unknown
Ophichthus zophochir,Marine
Pimelodus pantaneiro,Freshwater
Bunocephalus amaurus,Freshwater
Deuterodon supparis,Freshwater
Acinocheirodon melanogramma,Freshwater
Astyanax daguae,Freshwater
Ituglanis goya,Freshwater
Kyphosus vaigiensis,Marine
Bryconamericus ecai,Freshwater
Diplodus bermudensis,Marine
Gymnorhamphichthys rondoni,Freshwater
Austrolebias arachan,Freshwater
Archosargus probatocephalus,Marine
Otothyropsis marapoama,Freshwater
Brycon ferox,Freshwater
Symphysodon aequifasciatus,Freshwater
Poecilia caucana,Freshwater
Hemilutjanus macrophthalmos,Marine
Cichla monoculus,Freshwater
Stellifer naso,Marine
Genypterus brasiliensis,Marine
Corydoras oiapoquensis,Freshwater
Leporinus macrocephalus,Freshwater
Crenicichla lepidota,Freshwater
Piabucus dentatus,Freshwater
Sphyraena jello,Marine
Pimelodella avanhandavae,Freshwater
Lopholatilus villarii,Marine
Hemigrammus marginatus,Freshwater
Astrodoras asterifrons,Freshwater
Characidium alipioi,Freshwater
Hypostomus fonchii,Freshwater
Tetragonopterus chalceus,Freshwater
Opsanus beta,Marine
Calamus pennatula,Marine
Starksia multilepis,Marine
Eretmobrycon brevirostris,Unknown
Isbrueckerichthys duseni,Freshwater
Acanthistius pictus,Marine
Coptodon zillii,Freshwater
Diapoma tipiaia,Freshwater
Aphyocheirodon hemigrammus,Freshwater
Listrura picinguabae,Freshwater
Trichomycterus sp4,Unknown
Acanthurus tractus,Marine
Centropomus nigrescens,Marine and freshwater
Harttia garavelloi,Freshwater
Triportheus auritus,Freshwater
Pethia nigrofasciata,Freshwater
Moenkhausia gracilima,Freshwater
Hirundichthys oxycephalus,Marine
Brachyhypopomus janeiroensis,Freshwater
Mimagoniates lateralis,Freshwater
Aphyocharax anisitsi,Freshwater
Anostomus ternetzi,Freshwater
Pagrus pagrus,Marine
Hypophthalmus fimbriatus,Freshwater
Cyphocharax spiluropsis,Freshwater
Chasmocranus brachynemus,Freshwater
Sphyraena guachancho,Marine
Guyanancistrus teretirostris,Freshwater
Bryconamericus tolimae,Freshwater
Scomberomorus sierra,Marine
Plagioscion surinamensis,Freshwater
Corydoras weitzmani,Freshwater
Pseudotocinclus juquiae,Freshwater
Leporinus microphthalmus,Freshwater
Sternarchorhynchus oxyrhynchus,Freshwater
Gymnotus varzea,Freshwater
Hypsolebias janaubensis,Freshwater
Rhamdiopsis microcephala,Freshwater
Rhaphiodon vulpinus,Freshwater
Farlowella amazonum,Freshwater
Imparfinis piperatus,Freshwater
Pseudopimelodus charus,Freshwater
Lophiodes spilurus,Marine
Remora remora,Marine
Hisonotus notatus,Freshwater
Rhinodoras dorbignyi,Freshwater
Centropomus armatus,Marine
Trichogaster trichopterus,Freshwater
Pimelodus pictus,Freshwater
Epinephelus adscensionis,Marine
Aspidoras eurycephalus,Freshwater
Percophis brasiliensis,Marine
Leporellus vittatus,Freshwater
Boridia grossidens,Marine
Hyphessobrycon parvellus,Freshwater
Notarius grandicassis,Marine
Istiompax indica,Marine
Diapoma terofali,Freshwater
Astroblepus trifasciatus,Freshwater
Piabina anhembi,Freshwater
Cilus gilberti,Marine
Serranus flaviventris,Marine
Pterygoplichthys lituratus,Freshwater
Astyanax argyrimarginatus,Freshwater
Trachurus trachurus,Marine
Cyprinus carpio,Freshwater
Diapoma guarani,Freshwater
Haemulopsis leuciscus,Marine
Hemigrammus ocellifer,Freshwater
Hemibrycon rafaelense,Freshwater
Priolepis dawsoni,Marine
Acanthurus bahianus,Marine
Leporinus reinhardti,Freshwater
Sphyraena idiastes,Marine
Rhabdolichops troscheli,Freshwater
Caquetaia myersi,Freshwater
Acestrorhynchus falcirostris,Freshwater
Otocinclus xakriaba,Freshwater
Bujurquina mariae,Freshwater
Chilobrycon deuterodon,Freshwater
Bathygobius andrei,Marine
Epalzeorhynchos frenatum,Freshwater
Pellona harroweri,Marine
Hoplerythrinus unitaeniatus,Freshwater
Odontostilbe fugitiva,Freshwater
Trachelyopterus porosus,Freshwater
Cetopsis gobioides,Freshwater
Phalloceros enneaktinos,Freshwater
Doryrhamphus excisus,Marine
Gephyrocharax melanocheir,Freshwater
Myloplus schomburgkii,Freshwater
Psalidodon gymnodontus,Freshwater
Diodon liturosus,Marine
Cichlasoma bimaculatum,Freshwater
Hemipsilichthys gobio,Freshwater
Peristedion barbiger,Marine
Tometes makue,Freshwater
Umbrina coroides,Marine
Pareques perissa,Marine
Astyanax trierythropterus,Freshwater
Knodus victoriae,Freshwater
Adontosternarchus nebulosus,Freshwater
Tometes trilobatus,Freshwater
Astroblepus cyclopus,Freshwater
Cichlasoma portalegrense,Freshwater
Platydoras brachylecis,Freshwater
Hasemania nana,Freshwater
Fistularia tabacaria,Marine
Cichlasoma paranaense,Freshwater
Tetranematichthys wallacei,Freshwater
Bathylagoides wesethi,Marine
Oreochromis aureus,Freshwater
Strongylura timucu,Marine and freshwater
Citharichthys macrops,Marine
Anodus elongatus,Freshwater
Astroblepus latidens,Freshwater
Charax metae,Freshwater
Harttia carvalhoi,Freshwater
Apistogramma moae,Freshwater
Kyphosus incisor,Marine
Astyanax magdalenae,Freshwater
Fistularia petimba,Marine
Dialommus fuscus,Marine
Oligosarcus paranensis,Freshwater
Cyphocharax gillii,Freshwater
Haemulon squamipinna,Marine
Scorpaena wellingtoni,Marine
Corydoras habrosus,Freshwater
Mugil thoburni,Marine
Gephyrocharax chocoensis,Freshwater
Peckoltia oligospila,Freshwater
Upeneus parvus,Marine
Euthynnus alletteratus,Marine
Rineloricaria uracantha,Freshwater
Carlastyanax aurocaudatus,Freshwater
Cetopsis umbrosa,Freshwater
Trichomycterus sp3,Unknown
Oncorhynchus gilae,Freshwater
Corydoras schwartzi,Freshwater
Loricariichthys derbyi,Freshwater
Lepthoplosternum pectorale,Freshwater
Pterophyllum scalare,Freshwater
Haemulon album,Marine
Gymnotus ardilai,Freshwater
Planaltina britskii,Freshwater
Leporinus elongatus,Freshwater
Calophysus macropterus,Freshwater
Trichomycterus jacupiranga,Freshwater
Astyanax integer,Freshwater
Antennarius striatus,Marine
Oligosarcus varii,Freshwater
Chaetostoma milesi,Freshwater
Astyanax giton,Freshwater
Tatia jaracatia,Freshwater
Sternarchorhynchus mesensis,Freshwater
Hypostomus rhantos,Freshwater
Sternarchogiton nattereri,Freshwater
Orthopristis chalceus,Marine
Serrapinnus piaba,Freshwater
Gymnotus henni,Freshwater
Neoplecostomus corumba,Freshwater
Schizodon isognathus,Freshwater
Characidium chupa,Freshwater
Parodon suborbitalis,Freshwater
Hyphessobrycon ericae,Freshwater
Myxodagnus sagitta,Marine
Labrisomus philippii,Marine
Apogon maculatus,Marine
Pseudauchenipterus affinis,Freshwater
Hypostomus macushi,Freshwater
Peckoltia vittata,Freshwater
Hypopygus nijsseni,Freshwater
Alphestes immaculatus,Marine
Astyanax mexicanus,Freshwater
Pareiorhaphis scutula,Freshwater
Harttia novalimensis,Freshwater
Trichomycterus variegatus,Freshwater
Hemiramphus balao,Marine
Adontosternarchus sachsi,Freshwater
Astyanax petenensis,Freshwater
Oligosarcus planaltinae,Freshwater
Corydoras paleatus,Freshwater
Apistogramma allpahuayo,Freshwater
Cichla ocellaris,Freshwater
Knodus tiquiensis,Freshwater
Scomberomorus regalis,Marine
Bairdiella ronchus,Marine
Astyanax ruberrimus,Freshwater
Menticirrhus elongatus,Marine
Bryconamericus diaphanus,Freshwater
Megadontognathus kaitukaensis,Freshwater
Auchenipterus menezesi,Freshwater
Corydoras flaveolus,Freshwater
Neoplecostomus jaguari,Freshwater
Awaous tajasica,Freshwater
Creagrutus phasma,Freshwater
Pareiorhaphis splendens,Freshwater
Platynematichthys notatus,Freshwater
Rhamdia cinerascens,Freshwater
Pogonias cromis,Marine
Panaqolus albomaculatus,Freshwater
Creagrutus peruanus,Freshwater
Diplectrum conceptione,Marine
Brachyhypopomus draco,Freshwater
Curimata macrops,Freshwater
Hisonotus nigricauda,Freshwater
Pseudopimelodus mangurus,Freshwater
Tometes siderocarajensis,Freshwater
Pterengraulis atherinoides,Freshwater
Diplectrum euryplectrum,Marine
Sebastes rubrivinctus,Marine
Trichomycterus mimonha,Freshwater
Gasteropelecus sternicla,Freshwater
Hypostomus iheringii,Freshwater
Hemiodus amazonum,Freshwater
Tetrapturus pfluegeri,Marine
Thayeria boehlkei,Freshwater
Apistogramma paucisquamis,Freshwater
Zalieutes elater,Marine
Cynopoecilus notabilis,Freshwater
Heterochromis multidens,Freshwater
Achirus declivis,Marine
Hypostomus brevis,Freshwater
Probolodus heterostomus,Freshwater
Holacanthus clarionensis,Marine
Naucrates ductor,Marine
Hyphessobrycon agulha,Freshwater
Schindleria praematura,Marine
Curimata cyprinoides,Freshwater
Curimata vittata,Freshwater
Hypostomus faveolus,Freshwater
Corydoras kanei,Freshwater
Characidium timbuiense,Freshwater
Ancistrus brevipinnis,Freshwater
Thunnus atlanticus,Marine
Characidium lauroi,Freshwater
Caulolatilus princeps,Marine
Cyanocharax alburnus,Freshwater
Hypostomus mutucae,Freshwater
Epapterus dispilurus,Freshwater
Calamus penna,Marine
Megaleporinus garmani,Freshwater
Hypopomus artedi,Freshwater
Hemibrycon loisae,Unknown
Hypostomus luteus,Freshwater
Megalops atlanticus,Marine and freshwater
Hyphessobrycon herbertaxelrodi,Freshwater
Gymnotus coropinae,Freshwater
Melanorivulus pictus,Freshwater
Hydrolycus scomberoides,Freshwater
Eretmobrycon scleroparius,Unknown
Characidium lagosantense,Freshwater
Parotocinclus doceanus,Freshwater
Adontosternarchus balaenops,Freshwater
Pseudopercis semifasciata,Marine
Compsura heterura,Freshwater
Pterygoplichthys pardalis,Freshwater
Trachelyopterus lucenai,Freshwater
Cetopsis coecutiens,Freshwater
Merluccius hubbsi,Marine
Loricaria cataphracta,Freshwater
Euthynnus lineatus,Marine
Acanthicus adonis,Freshwater
Trachinotus falcatus,Marine
Deuterodon parahybae,Freshwater
Trinectes paulistanus,Marine and freshwater
Pareiorhaphis steindachneri,Freshwater
Hyporthodus acanthistius,Marine
Gymnotus arapaima,Freshwater
Loricariichthys brunneus,Freshwater
Hypoclinemus mentalis,Freshwater
Grammonus diagrammus,Marine
Diapoma pyrrhopteryx,Freshwater
Metynnis altidorsalis,Freshwater
Labrisomus cricota,Marine
Schedophilus haedrichi,Marine
Stephanolepis diaspros,Marine
Hypostomus nigrolineatus,Unknown
Gerres simillimus,Marine
Farlowella smithi,Freshwater
Konia dikume,Freshwater
Moenkhausia simulata,Freshwater
Curimatella immaculata,Freshwater
Mulloidichthys vanicolensis,Marine
Diogenichthys laternatus,Marine
Megaleporinus brinco,Freshwater
Hyphessobrycon robustulus,Freshwater
Microglanis parahybae,Freshwater
Myaka myaka,Freshwater
Hemibrycon quindos,Freshwater
Hypoptopoma gulare,Freshwater
Anisotremus davidsonii,Marine
Scorpaena isthmensis,Marine
Pimelodina flavipinnis,Freshwater
Semaprochilodus taeniurus,Freshwater
Characidium lanei,Freshwater
Pomacanthus arcuatus,Marine
Paralonchurus dumerilii,Marine
Peckoltia vermiculata,Freshwater
Fistularia commersonii,Marine
Pareiorhina carrancas,Freshwater
Plagioscion ternetzi,Freshwater
Chaenomugil proboscideus,Marine
Pyrrhulina spilota,Freshwater
Corydoras davidsandsi,Freshwater
Trichomycterus sp6,Unknown
Thalassoma duperrey,Marine
Apistogramma arua,Freshwater
Holacanthus ciliaris,Marine
Mulloidichthys dentatus,Marine
Astyanax brachypterygium,Freshwater
Elops saurus,Marine
Apareiodon vittatus,Freshwater
Gymnachirus nudus,Marine
Hyphessobrycon pulchripinnis,Freshwater
Elagatis bipinnulata,Marine
Astyanax anterior,Freshwater
Rineloricaria lanceolata,Freshwater
Abudefduf troschelii,Marine
Hypostomus hondae,Freshwater
Steindachnerina corumbae,Freshwater
Mesoheros atromaculatus,Freshwater
Trichomycterus jequitinhonhae,Freshwater
Ophioblennius steindachneri,Marine
Microlepidotus inornatus,Marine
Orthospinus franciscensis,Freshwater
Rhamphichthys heleios,Freshwater
Gobioides broussonnetii,Marine and freshwater
Brachyhypopomus hendersoni,Freshwater
Rhinelepis aspera,Freshwater
Citharichthys platophrys,Marine
Umbrina galapagorum,Marine
Bryconamericus huilae,Freshwater
Neoplecostomus botucatu,Freshwater
Diapoma lepiclastus,Freshwater
Australoheros charrua,Freshwater
Hemiodus microlepis,Freshwater
Hemipsilichthys nimius,Freshwater
Alphestes afer,Marine
Bryconamericus microcephalus,Freshwater
Moenkhausia forestii,Freshwater
Hypostomus goyazensis,Freshwater
Crenicichla haroldoi,Freshwater
Trachelyopterus albicrux,Freshwater
Anchoa nasus,Marine
Trichomycterus auroguttatus,Freshwater
Ancistrus centrolepis,Freshwater
Platydoras hancockii,Freshwater
Stegastes flavilatus,Marine
Pterygoplichthys undecimalis,Freshwater
Psalidodon eigenmanniorum,Freshwater
Hemigrammus guyanensis,Freshwater
Astyanax atratoensis,Freshwater
Loricaria lentiginosa,Freshwater
Parodon apolinari,Freshwater
Rhabdolichops lundbergi,Freshwater
