species,habitat
Pimelodus grosskopfii,Freshwater
Imparfinis mishky,Freshwater
Schizolecis guntheri,Freshwater
Planiloricaria cryptodon,Freshwater
Rhomboplites aurorubens,Marine
Trichomycterus alternatus,Freshwater
Rhamphichthys marmoratus,Freshwater
Ocyurus chrysurus,Marine
Elacatinus pridisi,Marine
Curimata mivartii,Freshwater
Cynopoecilus melanotaenia,Freshwater
Sphoeroides greeleyi,Marine
Bujurquina zamorensis,Freshwater
Ochmacanthus alternus,Freshwater
Kronichthys heylandi,Freshwater
Guyanancistrus tenuis,Freshwater
Prochilodus lacustris,Freshwater
Lutjanus analis,Marine
Geophagus rufomarginatus,Freshwater
Apteronotus mariae,Freshwater
Curimatopsis myersi,Freshwater
Rachycentron canadum,Marine
Astronotus ocellatus,Freshwater
Hypostomus taphorni,Freshwater
Danio rerio,Freshwater
Geophagus megasema,Freshwater
Kryptolebias hermaphroditus,Freshwater
Hypopygus ortegai,Freshwater
Sphoeroides spengleri,Marine
Hoplosternum magdalenae,Freshwater
Awaous transandeanus,Freshwater
Caranx tille,Marine
Trichomycterus caudofasciatus,Freshwater
Cyprinus carpio,Freshwater
Scleromystax barbatus,Freshwater
Triportheus nematurus,Freshwater
Austrolebias nigrofasciatus,Freshwater
Mugil curvidens,Marine
Psalidodon fasciatus,Freshwater
Anchoviella lepidentostole,Marine and freshwater
Ctenopharyngodon idella,Freshwater
Salminus brasiliensis,Freshwater
Utiaritichthys longidorsalis,Freshwater
Bryconamericus exodon,Freshwater
Astyanax serratus,Freshwater
Pimelodella witmeri,Freshwater
Eucinostomus argenteus,Marine and freshwater
Eleotris pisonis,Marine and freshwater
Trichomycterus reinhardti,Freshwater
Bryconamericus lethostigmus,Unknown
Diodon holocanthus,Marine
Schizodon nasutus,Freshwater
Thunnus thynnus,Marine
Iheringichthys labrosus,Freshwater
Hypopygus lepturus,Freshwater
Hyphessobrycon pyrrhonotus,Freshwater
Loricariichthys platymetopon,Freshwater
Eucinostomus lefroyi,Marine
Oreochromis niloticus,Freshwater
Katsuwonus pelamis,Marine
Cookeolus japonicus,Marine
Aphanotorulus emarginatus,Unknown
Oligosarcus jenynsii,Freshwater
Trichomycterus immaculatus,Freshwater
Iniistius pavo,Marine
Lutjanus synagris,Marine
Phalloceros elachistos,Freshwater
Plagioscion auratus,Freshwater
Geophagus brasiliensis,Freshwater
Diapterus rhombeus,Marine
Centropomus viridis,Marine
Pristobrycon striolatus,Freshwater
Cynopoecilus nigrovittatus,Freshwater
Cichla kelberi,Freshwater
Geophagus altifrons,Freshwater
Haemulon aurolineatum,Marine
Euthynnus affinis,Marine
Myloplus nigrolineatus,Freshwater
Aequidens diadema,Freshwater
Brotula clarkae,Marine
Apistogramma barlowi,Freshwater
Pseudocurimata lineopunctata,Freshwater
Serrasalmus brandtii,Freshwater
Potamorhina latior,Freshwater
Selene vomer,Marine
Geophagus argyrostictus,Freshwater
Mugil brevirostris,Marine
Characidium zebra,Freshwater
Hemibrycon brevispini,Freshwater
Phaeoptyx pigmentaria,Marine
Lutjanus guttatus,Marine
Astroblepus mariae,Freshwater
Xyrichtys splendens,Marine
Caranx bartholomaei,Marine
Schizodon fasciatus,Freshwater
Delturus brevis,Freshwater
Bathygobius soporator,Marine and freshwater
Xiphophorus maculatus,Freshwater
Austrolebias wolterstorffi,Freshwater
Butis koilomatodon,Marine and freshwater
Brachyplatystoma juruense,Freshwater
Leporinus friderici,Freshwater
Parodon magdalenensis,Freshwater
Lutjanus argentiventris,Marine
Sarda sarda,Marine
Myloplus lobatus,Freshwater
Zungaro zungaro,Freshwater
Hirundichthys affinis,Marine
Prochilodus brevis,Freshwater
Brittanichthys axelrodi,Freshwater
Haemulon plumierii,Marine
Pterodoras granulosus,Freshwater
Sphyraena barracuda,Marine
Cynoscion virescens,Marine
Astyanax douradilho,Freshwater
Myloplus asterias,Freshwater
Steindachnerina atratoensis,Freshwater
Electrophorus electricus,Freshwater
Sphoeroides tyleri,Marine
Pseudupeneus maculatus,Marine
Micropogonias megalops,Marine
Kryptolebias ocellatus,Freshwater
Kajikia audax,Marine
Sternarchogiton preto,Freshwater
Selar crumenophthalmus,Marine
Pygocentrus piraya,Freshwater
Canthidermis maculata,Marine
Megaleporinus muyscorum,Freshwater
Crenicichla menezesi,Freshwater
Leporinus agassizii,Freshwater
Ageneiosus pardalis,Freshwater
Lophiodes caulinaris,Marine
Caranx sexfasciatus,Marine and freshwater
Akawaio penak,Freshwater
Knodus alpha,Unknown
Bathygobius geminatus,Marine
Cyphocharax spilurus,Freshwater
Piaractus brachypomus,Freshwater
Eucinostomus harengulus,Marine
Odontesthes humensis,Freshwater
Trichomycterus stawiarski,Freshwater
Cetengraulis edentulus,Marine
Bergiaria westermanni,Freshwater
Hippocampus reidi,Marine
Gymnotus paraguensis,Freshwater
Jupiaba acanthogaster,Freshwater
Apistogramma cinilabra,Freshwater
Lepophidium negropinna,Marine
Paralichthys woolmani,Marine
Macrodon ancylodon,Marine
Microsternarchus bilineatus,Freshwater
Girella laevifrons,Marine
Paralichthys brasiliensis,Marine
Acanthurus coeruleus,Marine
Metynnis lippincottianus,Freshwater
Microglanis cottoides,Freshwater
Anablepsoides cearensis,Freshwater
Phractocephalus hemioliopterus,Freshwater
Leporinus tigrinus,Freshwater
Menticirrhus martinicensis,Marine
Gymnotus inaequilabiatus,Freshwater
Trichopodus trichopterus,Freshwater
Scartichthys gigas,Marine
Hypophthalmichthys nobilis,Freshwater
Myloplus rubripinnis,Freshwater
Apteronotus albifrons,Freshwater
Cynoscion leiarchus,Marine
Apistogramma wolli,Freshwater
Stellifer brasiliensis,Marine
Cyanocharax uruguayensis,Freshwater
Satanoperca jurupari,Freshwater
Hemibrycon beni,Freshwater
Heros efasciatus,Freshwater
Pseudoplatystoma punctifer,Freshwater
Chaetostoma thomsoni,Freshwater
Monocirrhus polyacanthus,Freshwater
Ogcocephalus nasutus,Marine
Garra rufa,Freshwater
Chilodus punctatus,Freshwater
Metynnis luna,Freshwater
Astyanax microlepis,Freshwater
Prochilodus magdalenae,Freshwater
Apistogramma pertensis,Freshwater
Sphyraena ensis,Marine
Astroblepus chapmani,Freshwater
Hypostomus arecuta,Freshwater
Aspredo aspredo,Freshwater
Mugil rubrioculus,Marine
Odontesthes perugiae,Freshwater
Ituglanis boitata,Freshwater
Metynnis melanogrammus,Unknown
Pempheris schomburgkii,Marine
Centropomus medius,Marine and freshwater
Stellifer minor,Marine
Lobotes surinamensis,Marine
Ancistrus aguaboensis,Freshwater
Brachyplatystoma filamentosum,Freshwater
Serrasalmus gouldingi,Freshwater
Etropus ectenes,Marine
Auchenipterichthys longimanus,Freshwater
Eretmobrycon peruanus,Unknown
Brycon alburnus,Freshwater
Paralichthys adspersus,Marine
Characidium fasciatum,Freshwater
Chaetodon striatus,Marine
Apteronotus magdalenensis,Freshwater
Curimatopsis crypticus,Freshwater
Gymnorhamphichthys britskii,Freshwater
Cichlasoma orientale,Freshwater
Schizodon borellii,Freshwater
Crenicichla regani,Freshwater
Parotocinclus spilurus,Freshwater
Sphoeroides annulatus,Marine
Odontoscion dentex,Marine
Pygocentrus nattereri,Freshwater
Gymnotus pantanal,Freshwater
Brycon pesu,Freshwater
Amatitlania nigrofasciata,Freshwater
Stegastes variabilis,Marine
Hypostomus corantijni,Freshwater
Hippocampus ingens,Marine
Gymnotus carapo,Freshwater
Hemiodus unimaculatus,Freshwater
Apareiodon affinis,Freshwater
Halichoeres penrosei,Marine
Trachelyopterus striatulus,Freshwater
Megaleporinus obtusidens,Freshwater
Creagrutus magdalenae,Freshwater
Semaprochilodus insignis,Freshwater
Menticirrhus americanus,Marine
Myloplus zorroi,Freshwater
Ageneiosus lineatus,Unknown
Tympanopleura atronasus,Freshwater
Ageneiosus akamai,Unknown
Hypsolebias radiseriatus,Freshwater
Tometes camunani,Freshwater
Characidium caucanum,Freshwater
Tatia neivai,Freshwater
Crenicichla geayi,Freshwater
Orthopristis ruber,Marine
Platystacus cotylephorus,Freshwater
Imparfinis hasemani,Freshwater
Apistogramma eunotus,Freshwater
Poecilia reticulata,Freshwater
Bunocephalus coracoideus,Freshwater
Hypostomus brevicauda,Freshwater
Hypostomus wuchereri,Freshwater
Hypostomus auroguttatus,Freshwater
Australoheros acaroides,Freshwater
Brevoortia pectinata,Marine
Gymnotus mamiraua,Freshwater
Procerusternarchus pixuna,Freshwater
Stegastes pictus,Marine
Heptapterus mustelinus,Freshwater
Rhamphichthys hahni,Freshwater
Geophagus iporangensis,Freshwater
Sternarchorhynchus mormyrus,Freshwater
Trachelyopterus galeatus,Freshwater
Caranx crysos,Marine
Henonemus punctatus,Freshwater
Apistogramma eremnopyge,Freshwater
Hippoglossina macrops,Marine
Corynopoma riisei,Freshwater
Arapaima gigas,Freshwater
Hypostomus leucophaeus,Freshwater
Hypostomus velhochico,Unknown
Rhoadsia minor,Freshwater
Stomatepia mariae,Freshwater
Hypostomus pyrineusi,Freshwater
Imparfinis guttatus,Freshwater
Myloplus planquettei,Freshwater
Anableps anableps,Freshwater
Xiphias gladius,Marine
Pseudoplatystoma magdaleniatum,Freshwater
Cypselurus naresii,Marine
Devario chrysotaeniatus,Freshwater
Hypostomus plecostomus,Freshwater
Selene brownii,Marine
Apistogramma paulmuelleri,Freshwater
Corydoras loretoensis,Freshwater
Megaleporinus conirostris,Freshwater
Leporinus octofasciatus,Freshwater
Aequidens tetramerus,Freshwater
Leporinus striatus,Freshwater
Sardinella aurita,Marine
Odontesthes bonariensis,Marine and freshwater
Elacatinus figaro,Marine
Hypostomus hemicochliodon,Freshwater
Isacia conceptionis,Marine
Mylossoma duriventre,Freshwater
Pygopristis denticulata,Freshwater
Micropogonias altipinnis,Marine
Pseudocorynopoma heterandria,Freshwater
Hypostomus carinatus,Freshwater
Ageneiosus ucayalensis,Freshwater
Mycteroperca xenarcha,Marine
Trichomycterus anaisae,Unknown
Decapterus punctatus,Marine
Astroblepus curitiensis,Unknown
Moema peruensis,Unknown
Lepidonectes corallicola,Marine
Rhamdia eurycephala,Unknown
Hyporthodus niphobles,Marine
Cubiceps pauciradiatus,Marine
Bivibranchia fowleri,Freshwater
Hypomasticus mormyrops,Freshwater
Pterosturisoma microps,Freshwater
Trichomycterus luetkeni,Unknown
Hoplias malabaricus,Freshwater
Hyphessobrycon bentosi,Freshwater
Brycon melanopterus,Freshwater
Psectrogaster amazonica,Freshwater
Pomacanthus paru,Marine
Sorubimichthys planiceps,Freshwater
Hemibrycon jabonero,Freshwater
Ageneiosus militaris,Freshwater
Cynopoecilus intimus,Freshwater
Aguarunichthys torosus,Freshwater
Diodon hystrix,Marine
Eucinostomus gula,Marine and freshwater
Chromis atrilobata,Marine
Loricariichthys castaneus,Freshwater
Haemulon steindachneri,Marine
Megaleporinus elongatus,Freshwater
Mesonauta festivus,Freshwater
Brycon henni,Freshwater
Hemiodus thayeria,Freshwater
Microlepidogaster longicolla,Freshwater
Astroblepus verai,Unknown
Pimelodus ornatus,Freshwater
Cynoscion microlepidotus,Marine
Hypophthalmus oremaculatus,Freshwater
Stegastes fuscus,Marine
Rhamdia gabrielae,Unknown
Diapoma speculiferum,Freshwater
Astyanax laticeps,Freshwater
Diplectrum bivittatum,Marine
Peprilus medius,Marine
Poecilia latipinna,Marine and freshwater
Paranthias colonus,Marine
Haemulopsis corvinaeformis,Marine and freshwater
Prionotus stephanophrys,Marine
Retroculus xinguensis,Freshwater
Serrasalmus cariba,Unknown
Oligosarcus hepsetus,Freshwater
Trachelyopterus insignis,Freshwater
Brevoortia aurea,Marine
Achirus achirus,Marine and freshwater
Pinirampus pirinampu,Freshwater
Cichla mirianae,Freshwater
Crenuchus spilurus,Freshwater
Trichomycterus sandovali,Freshwater
Cetopsorhamdia iheringi,Freshwater
Eretmobrycon emperador,Unknown
Oreochromis aureus,Freshwater
Pellona castelnaeana,Freshwater
Heteropriacanthus cruentatus,Marine
Sarda orientalis,Marine
Serrasalmus altispinis,Freshwater
Tometes kranponhah,Freshwater
Caranx hippos,Marine
Malacoctenus triangulatus,Marine
Bryconamericus caldasi,Freshwater
Anisotremus scapularis,Marine
Brachyhypopomus occidentalis,Freshwater
Eleotris picta,Freshwater
Apionichthys dumerili,Marine and freshwater
Pimelodella dorseyi,Freshwater
Ageneiosus intrusus,Unknown
Bothus pantherinus,Marine
Merluccius gayi,Marine
Astyanax dissimilis,Freshwater
Hypostomus ancistroides,Freshwater
Zungaro jahu,Freshwater
Hemiodus tocantinensis,Freshwater
Creagrutus caucanus,Freshwater
Caquetaia spectabilis,Freshwater
Rineloricaria steinbachi,Unknown
Pterois volitans,Marine
Batrochoglanis raninus,Freshwater
Corydoras nattereri,Freshwater
Mylossoma aureum,Freshwater
Mylesinus paraschomburgkii,Freshwater
Geophagus surinamensis,Freshwater
Australoheros facetus,Freshwater
Hypostomus alatus,Freshwater
Megaleporinus reinhardti,Freshwater
Pterygoplichthys etentaculatus,Freshwater
Hemigrammus pulcher,Freshwater
Pseudolithoxus anthrax,Freshwater
Brycon opalinus,Freshwater
Brycon insignis,Freshwater
Cyphocharax modestus,Freshwater
Apareiodon piracicabae,Freshwater
Hypostomus hermanni,Freshwater
Trichomycterus vermiculatus,Freshwater
Hypostomus microstomus,Freshwater
Synbranchus marmoratus,Freshwater
Pseudotothyris obtusa,Freshwater
Tetrapturus angustirostris,Marine
Ctenogobius sagittula,Marine
Ruvettus pretiosus,Marine
Paralonchurus brasiliensis,Marine
Tylosurus acus,Marine
Larimus breviceps,Marine
Trachinocephalus myops,Marine
Serrasalmus manueli,Freshwater
Asterophysus batrachus,Freshwater
Enneanectes altivelis,Marine
Triportheus rotundatus,Freshwater
Loricariichthys maculatus,Freshwater
Oreochromis urolepis,Freshwater
Diapoma itaimbe,Freshwater
Oreochromis mossambicus,Freshwater
Selene peruviana,Marine
Neoplecostomus microps,Freshwater
Pseudoplatystoma reticulatum,Freshwater
Astyanax lacustris,Freshwater
Leporinus obtusidens,Freshwater
Salminus hilarii,Freshwater
Trichomycterus sp5,Unknown
Corydoras aeneus,Freshwater
Serrasalmus maculatus,Freshwater
Pareiorhina rudolphi,Freshwater
Pomadasys panamensis,Marine
Haemulopsis elongatus,Marine
Anisotremus moricandi,Marine
Lepomis gibbosus,Freshwater
Etropus crossotus,Marine
Aspistor luniscutis,Marine and freshwater
Caranx latus,Marine and freshwater
Citharichthys spilopterus,Marine and freshwater
Seriola zonata,Marine
Trachinotus carolinus,Marine
Trachinotus goodei,Marine
Trichomycterus chapmani,Freshwater
Laemolyta taeniata,Freshwater
Piaractus mesopotamicus,Freshwater
Phalloceros reisi,Freshwater
Serrasalmus marginatus,Freshwater
Gilbertolus atratoensis,Freshwater
Anchoviella cayennensis,Marine
Hemibrycon jelskii,Freshwater
Andinoacara latifrons,Freshwater
Australoheros ipatinguensis,Freshwater
Archolaemus blax,Freshwater
Farlowella henriquei,Freshwater
Sternarchorhamphus muelleri,Freshwater
Sternopygus arenatus,Freshwater
Hemisorubim platyrhynchos,Freshwater
Peprilus xanthurus,Marine
Steindachnerina brevipinna,Freshwater
Leporinus bahiensis,Freshwater
Geophagus diamantinensis,Freshwater
Geophagus santosi,Freshwater
Hypostomus jaguar,Freshwater
Vinciguerria lucetia,Marine
Roeboides dayi,Freshwater
Polydactylus virginicus,Marine
Hypostomus weberi,Freshwater
Apteronotus eschmeyeri,Freshwater
Gymnotus choco,Freshwater
Sparisoma radians,Marine
Trichomycterus maculosus,Freshwater
Lycengraulis grossidens,Marine and freshwater
Oligosarcus argenteus,Freshwater
Auchenipterus dentatus,Freshwater
Leporinus piavussu,Freshwater
Scorpiodoras heckelii,Freshwater
Characidium sanctjohanni,Freshwater
Astyanax henseli,Freshwater
Andinoacara rivulatus,Freshwater
Megaleporinus macrocephalus,Freshwater
Ageneiosus uranophthalmus,Freshwater
Hypostomus holostictus,Freshwater
Coelorinchus canus,Marine
Hypostomus paranensis,Freshwater
Tetragonopterus argenteus,Freshwater
Piabarchus stramineus,Freshwater
Cyprinus pellegrini,Freshwater
Genidens genidens,Marine
Myleus micans,Freshwater
Alectis ciliaris,Marine
Brycon orthotaenia,Freshwater
Paraclinus spectator,Marine
Aequidens epae,Freshwater
Trichomycterus uisae,Freshwater
Sternarchogiton porcinum,Freshwater
Trichomycterus nigroauratus,Freshwater
